"20210710000020",93.1474,27.51808,284.6917,372.8342,13.87046,188.2791,16.35854,10.58851,67.15224,100.8434,1.498742,0.3522315,-1.182272,-0.1787598,0.8074066,0.06847156,-0.02231717,0.19,78.99999
"20210710000040",82.58981,27.53497,284.6899,372.7464,13.85615,187.8773,16.33602,10.65086,67.15964,100.8441,1.32887,0.3524476,-1.181387,-0.1789249,0.8056835,0.06837731,-0.0237639,0.14,36
"20210710000100",73.73711,27.54062,284.5806,372.7112,13.83256,187.5452,16.28091,10.64952,65.60453,100.8462,1.18643,0.3525199,-1.181184,-0.1775622,0.804259,0.06814662,-0.02273536,0.22,41
"20210710000120",69.32414,27.58786,284.4806,372.6829,13.81583,187.3701,16.2695,10.66514,65.2959,100.8468,1.115426,0.3531246,-1.181306,-0.1766453,0.8035082,0.06809884,-0.02488112,0.09,71
"20210710000140",70.35194,27.56742,284.3492,372.5239,13.79365,187.108,16.24748,10.72353,65.70308,100.8432,1.131963,0.3528629,-1.181454,-0.1772447,0.8023845,0.06800671,-0.02324295,0.06,145
"20210710000200",76.4379,27.50371,284.2172,372.4973,13.77289,186.5454,16.17212,10.73055,65.58195,100.8428,1.229886,0.3520475,-1.181701,-0.1759813,0.7999716,0.06769127,-0.02125239,0.31,147
"20210710000220",86.2499,27.43549,284.2127,372.4169,13.74769,186.2148,16.17878,10.71749,65.31279,100.8443,1.387761,0.3511742,-1.180159,-0.1751651,0.7985539,0.06771915,-0.02218223,0.34,159
"20210710000240",96.11815,27.42559,284.25,372.4121,13.72895,185.8464,16.22007,10.65799,64.34129,100.8443,1.546541,0.3510475,-1.178533,-0.173737,0.7969742,0.06789198,-0.01973581,0.16,138
"20210710000300",102.9467,27.38632,284.2797,372.332,13.71121,185.9249,16.16651,10.63641,63.39447,100.8466,1.656412,0.3505449,-1.177061,-0.1735156,0.797311,0.06766778,-0.02468443,0.16,168
"20210710000320",106.5648,27.39649,284.3264,372.2726,13.69387,186.1419,16.22144,10.60397,63.79482,100.8492,1.714627,0.3506751,-1.175413,-0.1730168,0.7982413,0.0678977,-0.02344227,0.19,170
"20210710000340",107.5046,27.38041,284.309,372.2436,13.67855,185.788,16.14593,10.54499,63.47976,100.846,1.729749,0.3504693,-1.174651,-0.1722238,0.7967236,0.06758166,-0.02201843,0.07,179
"20210710000400",107.2683,27.34663,284.2658,372.2852,13.66383,185.4558,16.1498,10.5528,63.49111,100.8467,1.725946,0.3500369,-1.174231,-0.1704271,0.7952992,0.06759784,-0.02105308,0.56,190
"20210710000420",105.9811,27.33415,284.1602,372.1592,13.65174,185.41,16.17133,10.46906,61.62826,100.8469,1.705236,0.3498771,-1.174712,-0.1713417,0.7951029,0.06768794,-0.02149749,0.77,190
"20210710000440",102.3853,27.27085,284.1711,372.0966,13.63843,185.2365,16.17386,10.39629,60.33887,100.8474,1.647379,0.349067,-1.173744,-0.1712129,0.7943585,0.06769856,-0.01997995,0.66,204
"20210710000500",96.03412,27.19166,283.9493,371.9357,13.62392,185.1382,16.11092,10.33754,61.14136,100.8488,1.545189,0.3480533,-1.175447,-0.1724586,0.7939372,0.06743511,-0.01855779,0.61,207
"20210710000520",87.20447,27.0481,283.8376,371.8267,13.60457,184.7215,16.04213,10.27697,60.97955,100.8547,1.40312,0.3462157,-1.175542,-0.1725389,0.79215,0.06714718,-0.01916099,0.79,217
"20210710000540",78.75848,26.97306,283.814,371.8237,13.5832,184.468,16.02947,10.21915,61.00178,100.852,1.267224,0.3452551,-1.174472,-0.1708768,0.791063,0.06709418,-0.01978254,0.94,220
"20210710000600",72.75047,26.93268,283.8273,371.8378,13.56405,184.3045,16.02809,10.18092,60.5774,100.8513,1.170555,0.3447383,-1.173107,-0.1691384,0.7903619,0.06708842,-0.018502,1.01,232
