"202411050001",0,12.60745
"202411050002",0,12.60754
"202411050003",0,12.60796
"202411050004",0,12.60778
"202411050005",0,12.60728
"202411050006",0,12.60728
"202411050007",0,12.60748
"202411050008",0,12.6075
"202411050009",0,12.60751
"202411050010",0,12.60761
"202411050011",0,12.60753
"202411050012",0,12.59137
"202411050013",0,12.60773
"202411050014",0,12.60747
"202411050015",0,12.60736
"202411050016",0,12.60725
"202411050017",0,12.60742
"202411050018",0,12.60703
"202411050019",0.05000305,12.60723
"202411050020",0,12.60727
"202411050021",0,12.59185
"202411050022",0,12.60727
"202411050023",0,12.59137
"202411050024",0,12.60642
"202411050025",0,12.60686
"202411050026",0,12.60704
"202411050027",0,12.60499
"202411050028",0,12.60733
"202411050029",0,12.59116
"202411050030",0,12.60584
"202411050031",0,12.60683
"202411050032",0,12.60711
"202411050033",0,12.607
"202411050034",0,12.60704
"202411050035",0,12.60694
"202411050036",0,12.60634
"202411050037",0,12.6066
"202411050038",0,12.60716
"202411050039",0,12.60685
"202411050040",0,12.60682
"202411050041",0,12.6046
"202411050042",0,12.58985
"202411050043",0,12.59054
"202411050044",0,12.60664
"202411050045",0,12.60633
"202411050046",0,12.60674
"202411050047",0,12.6062
"202411050048",0,12.60514
"202411050049",0,12.59026
"202411050050",0,12.60643
"202411050051",0,12.60634
"202411050052",0,12.6065
"202411050053",0,12.60595
"202411050054",0,12.6063
"202411050055",0,12.60579
"202411050056",0,12.60594
"202411050057",0,12.60621
"202411050058",0,12.60613
"202411050059",0,12.6063
"202411050100",0,12.60617
"202411050101",0,12.60596
"202411050102",0,12.60593
"202411050103",0,12.60601
"202411050104",0,12.60605
"202411050105",0,12.6062
"202411050106",0,12.60612
"202411050107",0,12.60519
"202411050108",0,12.60578
"202411050109",0,12.60567
"202411050110",0,12.60625
"202411050111",0,12.60602
"202411050112",0,12.59007
"202411050113",0,12.60552
"202411050114",0,12.60591
"202411050115",0,12.60573
"202411050116",0,12.60563
"202411050117",0,12.60577
"202411050118",0,12.60582
"202411050119",0,12.58918
"202411050120",0,12.58948
"202411050121",0,12.60553
"202411050122",0,12.58984
"202411050123",0,12.60554
"202411050124",0,12.60541
"202411050125",0,12.58835
"202411050126",0,12.60515
"202411050127",0,12.60524
"202411050128",0,12.60531
"202411050129",0,12.60528
"202411050130",0,12.60541
"202411050131",0,12.60517
"202411050132",0,12.60486
"202411050133",0,12.60487
"202411050134",0,12.60509
"202411050135",0,12.60535
"202411050136",0,12.60516
"202411050137",0,12.60491
