TIMESTAMP,P_1_1_1,BATTERI
2024-11-04 00:01:00,0.0,12.59537
2024-11-04 00:02:00,0.0,12.59507
2024-11-04 00:03:00,0.0,12.59545
2024-11-04 00:04:00,0.0,12.59538
2024-11-04 00:05:00,0.0,12.59503
2024-11-04 00:06:00,0.0,12.59515
2024-11-04 00:07:00,0.0,12.57916
2024-11-04 00:08:00,0.0,12.59567
2024-11-04 00:09:00,0.0,12.57923
2024-11-04 00:10:00,0.0,12.59546
2024-11-04 00:11:00,0.0,12.59495
2024-11-04 00:12:00,0.0,12.59532
2024-11-04 00:13:00,0.0,12.59535
2024-11-04 00:14:00,0.0,12.59532
2024-11-04 00:15:00,0.0,12.59547
2024-11-04 00:16:00,0.0,12.5954
2024-11-04 00:17:00,0.0,12.59512
2024-11-04 00:18:00,0.0,12.59545
2024-11-04 00:19:00,0.0,12.59557
2024-11-04 00:20:00,0.0,12.59564
2024-11-04 00:21:00,0.0,12.59554
2024-11-04 00:22:00,0.0,12.59586
2024-11-04 00:23:00,0.0,12.56429
2024-11-04 00:24:00,0.0,12.59551
2024-11-04 00:25:00,0.0,12.59582
2024-11-04 00:26:00,0.0,12.59607
2024-11-04 00:27:00,0.0,12.59621
2024-11-04 00:28:00,0.0,12.59599
2024-11-04 00:29:00,0.0,12.59633
2024-11-04 00:30:00,0.0,12.57943
2024-11-04 00:31:00,0.0,12.59617
2024-11-04 00:32:00,0.0,12.59629
2024-11-04 00:33:00,0.0,12.59621
2024-11-04 00:34:00,0.0,12.5962
2024-11-04 00:35:00,0.0,12.59652
2024-11-04 00:36:00,0.0,12.59402
2024-11-04 00:37:00,0.0,12.58028
2024-11-04 00:38:00,0.0,12.59634
2024-11-04 00:39:00,0.0,12.58047
2024-11-04 00:40:00,0.0,12.59684
2024-11-04 00:41:00,0.0,12.5805
2024-11-04 00:42:00,0.0,12.58045
2024-11-04 00:43:00,0.0,12.5966
2024-11-04 00:44:00,0.0,12.59652
2024-11-04 00:45:00,0.0,12.59685
2024-11-04 00:46:00,0.0,12.5951
2024-11-04 00:47:00,0.0,12.59693
2024-11-04 00:48:00,0.0,12.59653
2024-11-04 00:49:00,0.0,12.59683
2024-11-04 00:50:00,0.0,12.59705
2024-11-04 00:51:00,0.0,12.59704
2024-11-04 00:52:00,0.0,12.59705
2024-11-04 00:53:00,0.0,12.59731
2024-11-04 00:54:00,0.0,12.59692
2024-11-04 00:55:00,0.0,12.5947
2024-11-04 00:56:00,0.0,12.59722
2024-11-04 00:57:00,0.0,12.5951
2024-11-04 00:58:00,0.0,12.59745
2024-11-04 00:59:00,0.0,12.5951
2024-11-04 01:00:00,0.0,12.59735
2024-11-04 01:01:00,0.0,12.58135
2024-11-04 01:02:00,0.0,12.59759
2024-11-04 01:03:00,0.0,12.58138
2024-11-04 01:04:00,0.0,12.59782
2024-11-04 01:05:00,0.0,12.59751
2024-11-04 01:06:00,0.0,12.59706
2024-11-04 01:07:00,0.0,12.59745
2024-11-04 01:08:00,0.0,12.59658
2024-11-04 01:09:00,0.0,12.59794
2024-11-04 01:10:00,0.0,12.59811
2024-11-04 01:11:00,0.0,12.59799
2024-11-04 01:12:00,0.0,12.59804
2024-11-04 01:13:00,0.0,12.59776
2024-11-04 01:14:00,0.0,12.59837
2024-11-04 01:15:00,0.0,12.59829
2024-11-04 01:16:00,0.0,12.59838
2024-11-04 01:17:00,0.0,12.59827
2024-11-04 01:18:00,0.0,12.59845
2024-11-04 01:19:00,0.0,12.59852
2024-11-04 01:20:00,0.0,12.59826
2024-11-04 01:21:00,0.0,12.59853
2024-11-04 01:22:00,0.0,12.59833
2024-11-04 01:23:00,0.0,12.59868
2024-11-04 01:24:00,0.0,12.5984
2024-11-04 01:25:00,0.0,12.59802
2024-11-04 01:26:00,0.0,12.59848
2024-11-04 01:27:00,0.0,12.59861
2024-11-04 01:28:00,0.0,12.59892
2024-11-04 01:29:00,0.0,12.59887
2024-11-04 01:30:00,0.0,12.59915
2024-11-04 01:31:00,0.0,12.59916
2024-11-04 01:32:00,0.0,12.59885
2024-11-04 01:33:00,0.0,12.59915
2024-11-04 01:34:00,0.0,12.59919
2024-11-04 01:35:00,0.0,12.59942
2024-11-04 01:36:00,0.0,12.59921
2024-11-04 01:37:00,0.0,12.59909
2024-11-04 01:38:00,0.0,12.59916
2024-11-04 01:39:00,0.0,12.59932
2024-11-04 01:40:00,0.0,12.59975
2024-11-04 01:41:00,0.0,12.59969
2024-11-04 01:42:00,0.0,12.59971
2024-11-04 01:43:00,0.0,12.58348
2024-11-04 01:44:00,0.0,12.59975
2024-11-04 01:45:00,0.0,12.58367
2024-11-04 01:46:00,0.0,12.60026
2024-11-04 01:47:00,0.0,12.58369
2024-11-04 01:48:00,0.0,12.60005
2024-11-04 01:49:00,0.0,12.59947
2024-11-04 01:50:00,0.0,12.59965
2024-11-04 01:51:00,0.0,12.60005
2024-11-04 01:52:00,0.0,12.60004
2024-11-04 01:53:00,0.0,12.60025
2024-11-04 01:54:00,0.0,12.60065
2024-11-04 01:55:00,0.0,12.60023
2024-11-04 01:56:00,0.0,12.59972
2024-11-04 01:57:00,0.0,12.60002
2024-11-04 01:58:00,0.0,12.59919
2024-11-04 01:59:00,0.0,12.59972
2024-11-04 02:00:00,0.0,12.60032
2024-11-04 02:01:00,0.0,12.59966
2024-11-04 02:02:00,0.0,12.60054
2024-11-04 02:03:00,0.0,12.60047
2024-11-04 02:04:00,0.0,12.58453
2024-11-04 02:05:00,0.0,12.60053
2024-11-04 02:06:00,0.0,12.58466
2024-11-04 02:07:00,0.0,12.60076
2024-11-04 02:08:00,0.0,12.60068
2024-11-04 02:09:00,0.0,12.6007
2024-11-04 02:10:00,0.0,12.58458
2024-11-04 02:11:00,0.0,12.60086
2024-11-04 02:12:00,0.0,12.58505
2024-11-04 02:13:00,0.0,12.60089
2024-11-04 02:14:00,0.0,12.60079
2024-11-04 02:15:00,0.0,12.60083
2024-11-04 02:16:00,0.0,12.60072
2024-11-04 02:17:00,0.0,12.60131
2024-11-04 02:18:00,0.0,12.6012
2024-11-04 02:19:00,0.0,12.60135
2024-11-04 02:20:00,0.0,12.60126
2024-11-04 02:21:00,0.0,12.58524
2024-11-04 02:22:00,0.0,12.60128
2024-11-04 02:23:00,0.0,12.58561
2024-11-04 02:24:00,0.0,12.60135
2024-11-04 02:25:00,0.0,12.58576
2024-11-04 02:26:00,0.0,12.60123
2024-11-04 02:27:00,0.0,12.60184
2024-11-04 02:28:00,0.0,12.60168
2024-11-04 02:29:00,0.0,12.60206
2024-11-04 02:30:00,0.0,12.60212
2024-11-04 02:31:00,0.0,12.60229
2024-11-04 02:32:00,0.0,12.60166
2024-11-04 02:33:00,0.0,12.60157
2024-11-04 02:34:00,0.0,12.60211
2024-11-04 02:35:00,0.0,12.60208
2024-11-04 02:36:00,0.0,12.60248
2024-11-04 02:37:00,0.0,12.60241
2024-11-04 02:38:00,0.0,12.57055
2024-11-04 02:39:00,0.0,12.60224
2024-11-04 02:40:00,0.0,12.60249
2024-11-04 02:41:00,0.0,12.60247
2024-11-04 02:42:00,0.0,12.60276
2024-11-04 02:43:00,0.0,12.58672
2024-11-04 02:44:00,0.0,12.60314
2024-11-04 02:45:00,0.0,12.58582
2024-11-04 02:46:00,0.0,12.603
2024-11-04 02:47:00,0.0,12.60291
2024-11-04 02:48:00,0.0,12.60299
2024-11-04 02:49:00,0.0,12.60332
2024-11-04 02:50:00,0.0,12.60354
2024-11-04 02:51:00,0.0,12.60107
2024-11-04 02:52:00,0.0,12.60323
2024-11-04 02:53:00,0.0,12.60345
2024-11-04 02:54:00,0.0,12.60302
2024-11-04 02:55:00,0.0,12.60301
2024-11-04 02:56:00,0.0,12.60322
2024-11-04 02:57:00,0.0,12.587
2024-11-04 02:58:00,0.0,12.60321
2024-11-04 02:59:00,0.0,12.60368
2024-11-04 03:00:00,0.0,12.60388
2024-11-04 03:01:00,0.0,12.60397
2024-11-04 03:02:00,0.0,12.60382
2024-11-04 03:03:00,0.0,12.60358
2024-11-04 03:04:00,0.0,12.60388
2024-11-04 03:05:00,0.0,12.58766
2024-11-04 03:06:00,0.0,12.60426
